,Unnamed: 0,Fecha,Precio,Producto,Lugar,Categoria
0,0,2021-12-30,3.2,Perforadora,Chino,Vivienda
1,1,2021-12-30,1.2,Pincel de silicona,Chino,Vivienda
2,2,2021-12-30,0.5,Regla,Chino,Vivienda
3,3,2021-12-30,2.5,Resaltadores,Chino,Vivienda
4,4,2021-12-30,2.0,Cuaderno,Chino,Vivienda
5,5,2021-12-30,25.95,Carrito compras,Chino,Vivienda
6,6,2021-12-30,2.2,Carpeta ,Chino,Vivienda
7,7,2021-12-30,1.95,Yogurt,Mercadona,Supermercado
8,8,2021-12-30,1.8,Patatas light,Mercadona,Supermercado
9,9,2021-12-30,0.9,Patatas huevo frito,Mercadona,Supermercado
10,10,2021-12-30,0.9,Patatas serrano,Mercadona,Supermercado
11,11,2021-12-30,1.99,Jamon ,Mercadona,Supermercado
12,12,2021-12-30,1.1,Mayonesa,Mercadona,Supermercado
13,13,2021-12-30,1.25,Chia,Mercadona,Supermercado
14,14,2021-12-30,0.9,Pasta dental,Mercadona,Farmacia
15,15,2021-12-30,0.7,Harina de fuerza,Mercadona,Supermercado
16,16,2021-12-30,7.68,Leche,Lidl,Supermercado
17,17,2021-12-30,2.16,Azucar,Lidl,Supermercado
18,18,2021-12-30,1.59,Lenteja,Lidl,Supermercado
19,19,2021-12-30,1.39,Papel humedo,Lidl,Farmacia
20,20,2021-12-30,1.79,Cafe,Lidl,Supermercado
21,21,2021-12-30,1.55,Alubia,Lidl,Supermercado
22,22,2021-12-30,2.35,Filete lomo de cerdo,Lidl,Supermercado
23,23,2021-12-30,3.89,Lomo muy jugoso,Lidl,Supermercado
24,24,2021-12-30,0.89,Arroz,Lidl,Supermercado
25,25,2021-12-30,1.79,Queso cuña vaca,Lidl,Supermercado
26,26,2021-12-30,3.19,Atun,Lidl,Supermercado
27,27,2021-12-30,3.27,Queso en lonchas,Lidl,Supermercado
28,28,2021-12-30,0.89,Queso rallado,Lidl,Supermercado
29,29,2021-12-30,0.29,Oregano,Lidl,Supermercado
30,30,2021-12-30,0.37,Perejil,Lidl,Supermercado
31,31,2021-12-30,0.89,Pan de molde,Lidl,Supermercado
32,32,2021-12-30,2.49,Papel higienico,Lidl,Farmacia
33,33,2021-12-31,2.4,Jarro para hervir,Chino,Vivienda
34,34,2021-12-31,1.0,Pegamento,Chino,Vivienda
35,35,2021-12-31,2.7,Fanta limon,Carrefour,Supermercado
36,36,2021-12-31,1.4,Desodorante,Mercadona,Farmacia
37,37,2021-12-31,3.3,Vino,Mercadona,Supermercado
38,38,2021-12-31,5.98,Pechuga pollo,Mercadona,Supermercado
39,39,2021-12-31,0.65,Zanahoria ,Mercadona,Supermercado
40,40,2021-12-31,1.8,Almendra con ch,Mercadona,Supermercado
41,41,2021-12-31,1.7,Mani con ch,Mercadona,Supermercado
42,42,2022-01-03,6.76,Pechuga de pollo,Carrefour,Supermercado
43,43,2022-01-03,10.68,Lomo de cerdo ,Carrefour,Supermercado
44,44,2022-01-03,4.27,Cerdo picado,Carrefour,Supermercado
45,45,2022-01-03,2.85,Tomate,Carrefour,Supermercado
46,46,2022-01-03,3.1,Rexona,Carrefour,Farmacia
47,47,2022-01-02,1.5,Talco,Carrefour,Farmacia
48,48,2022-01-02,1.45,Don satur,Carrefour,Supermercado
49,49,2022-01-02,0.9,Hogareñas,Carrefour,Supermercado
50,50,2022-01-02,3.99,Yerba,Carrefour,Supermercado
51,51,2022-01-02,0.1,Bolsa,Carrefour,Vivienda
52,52,2022-01-02,2.25,Tupper,Carrefour,Vivienda
53,53,2022-01-05,2.95,Huevos,Mercadona,Supermercado
54,54,2022-01-05,1.3,Bocadillo cacao,Mercadona,Supermercado
55,55,2022-01-05,1.7,Capelletini carne,Mercadona,Supermercado
56,56,2022-01-05,1.7,Capelletini queso,Mercadona,Supermercado
57,57,2022-01-05,1.7,Capelletini jamon,Mercadona,Supermercado
58,58,2022-01-05,1.5,Focaccia,Mercadona,Supermercado
59,59,2022-01-05,2.18,Queso tierno vaca,Mercadona,Supermercado
60,60,2022-01-05,3.2,Lamina sin corteza,Mercadona,Supermercado
61,61,2022-01-05,2.9,Queso edam,Mercadona,Supermercado
62,62,2022-01-05,1.0,Queso untar,Mercadona,Supermercado
63,63,2022-01-05,1.65,Crackers sal,Mercadona,Supermercado
64,64,2022-01-05,2.0,Dulce membrillo,Mercadona,Supermercado
65,65,2022-01-06,2.4,Churros,Tejerinos ,Supermercado
66,66,2022-01-07,1.0,Pan bocadillos,Mercadona,Supermercado
67,67,2022-01-07,1.32,Nata,Mercadona,Supermercado
68,68,2022-01-07,0.8,Mostaza dulce,Mercadona,Supermercado
69,69,2022-01-08,11.3,Merienda larios,Blend cafe,Salidas
70,70,2022-01-08,27.99,Repuesto oral b,Amazon,Farmacia
71,71,2022-01-11,0.0,Horno,Amazon,Vivienda
72,72,2022-01-10,1.99,Jamon york lonchas,Mercadona,Supermercado
73,73,2022-01-10,7.92,Coca cola,Mercadona,Supermercado
74,74,2022-01-10,3.84,Leche,Lidl,Supermercado
75,75,2022-01-10,2.75,Pizzas,Lidl,Supermercado
76,76,2022-01-10,3.27,Queso en lonchas,Lidl,Supermercado
77,77,2022-01-10,0.99,Nuggets de pollo,Lidl,Supermercado
78,78,2022-01-10,3.58,Cuña de queso,Lidl,Supermercado
79,79,2022-01-10,1.29,Turron crujiente,Lidl,Supermercado
80,80,2022-01-10,0.95,Liquido limpia cristal,Lidl,Farmacia
81,81,2022-01-10,0.72,Lejia detergente,Lidl,Farmacia
82,82,2022-01-11,0.95,Pan lactal,Mercadona,Supermercado
83,83,2022-01-11,1.15,Cebolla,Mercadona,Supermercado
84,84,2022-01-15,3.0,Papel aluminio,Mercadona,Vivienda
85,85,2022-01-15,1.2,Papel vegetal,Mercadona,Vivienda
86,86,2022-01-15,1.65,Caperucita tinta,Mercadona,Supermercado
87,87,2022-01-15,2.95,Huevos,Mercadona,Supermercado
88,88,2022-01-15,2.2,Lasaña boloñesa,Mercadona,Supermercado
89,89,2022-01-15,2.2,Canelones carne,Mercadona,Supermercado
90,90,2022-01-15,2.13,Lasaña barbacoa,Mercadona,Supermercado
91,91,2022-01-15,0.85,Estropajo ,Mercadona,Vivienda
92,92,2022-01-15,1.0,Patatas chili lima,Mercadona,Supermercado
93,93,2022-01-15,0.65,Patatas onduladas,Mercadona,Supermercado
94,94,2022-01-15,1.0,Pan bocadillos,Mercadona,Supermercado
95,95,2022-01-15,1.0,Salsa chili dulce,Mercadona,Supermercado
96,96,2022-01-15,1.0,Pan sin corteza,Mercadona,Supermercado
97,97,2022-01-15,0.95,Pan lactal,Mercadona,Supermercado
98,98,2022-01-15,1.2,Te negro,Mercadona,Supermercado
99,99,2022-01-15,0.79,Lechuga,Mercadona,Supermercado
100,100,2022-01-17,2.05,Lasaña verduras,Mercadona,Supermercado
101,101,2022-01-17,0.75,Pan rallado,Mercadona,Supermercado
102,102,2022-01-17,0.85,Pan rallado ajo/per,Mercadona,Supermercado
103,103,2022-01-17,1.65,Acelga,Mercadona,Supermercado
104,104,2022-01-17,1.8,Queso rallado,Mercadona,Supermercado
105,105,2022-01-17,1.3,Espinaca,Mercadona,Supermercado
106,106,2022-01-17,1.4,Cesta inodoro,Mercadona,Farmacia
107,107,2022-01-17,1.6,Bandas aux,Mercadona,Farmacia
108,108,2022-01-17,1.99,Jamon,Mercadona,Supermercado
109,109,2022-01-17,0.65,Patatas onduladas,Mercadona,Supermercado
110,110,2022-01-17,1.49,Bocaditos cacao,Lidl,Supermercado
111,111,2022-01-17,0.79,Galletas rellenas,Lidl,Supermercado
112,112,2022-01-17,3.27,Queso en lonchas,Lidl,Supermercado
113,113,2022-01-17,1.84,Tomate,Maskom,Supermercado
114,114,2022-01-17,1.85,Pimiento 3color,Maskom,Supermercado
115,115,2022-01-17,1.92,Melon piel de sapo,Maskom,Supermercado
116,116,2021-12-24,2.7,Fanta limon,Carrefour,Supermercado
117,117,2021-12-24,1.49,Vino,Carrefour,Supermercado
118,118,2021-12-24,2.15,Salsa perrin,Carrefour,Supermercado
119,119,2022-01-24,2.95,Huevos,Mercadona,Supermercado
120,120,2022-01-24,1.1,Crema humectante aloe,Mercadona,Supermercado
121,121,2022-01-24,26.35,Electricidad enero,,"Suministros (luz, agua, gas, etc.)"
122,122,2022-01-21,2.28,Fanta limon,Carrefour,Supermercado
123,123,2022-01-21,1.45,Cheetos,Carrefour,Supermercado
124,124,2022-01-21,1.35,Oreo blancas,Carrefour,Supermercado
125,125,2022-01-21,2.15,Mayonesa,Carrefour,Supermercado
126,126,2022-01-21,0.69,Turron crujiente,Carrefour,Supermercado
127,127,2022-01-21,4.18,Masa empanadas,Carrefour,Supermercado
128,128,2022-01-21,1.15,Queso untar,Carrefour,Supermercado
129,129,2022-01-21,2.99,Mini magdalenas,Carrefour,Supermercado
130,130,2022-01-23,9.2,Valdi,,Salidas
131,131,2022-01-15,2.0,Cubre horno,Chino,Vivienda
