,Fecha,Precio,Producto,Lugar,Categoria
0,2021-12-30,3.2,Perforadora,Chino,Vivienda
1,2021-12-30,1.2,Pincel de silicona,Chino,Vivienda
2,2021-12-30,0.5,Regla,Chino,Vivienda
3,2021-12-30,2.5,Resaltadores,Chino,Vivienda
4,2021-12-30,2.0,Cuaderno,Chino,Vivienda
5,2021-12-30,25.95,Carrito compras,Chino,Vivienda
6,2021-12-30,2.2,Carpeta ,Chino,Vivienda
7,2021-12-30,1.95,Yogurt,Mercadona,Supermercado
8,2021-12-30,1.8,Patatas light,Mercadona,Supermercado
9,2021-12-30,0.9,Patatas huevo frito,Mercadona,Supermercado
10,2021-12-30,0.9,Patatas serrano,Mercadona,Supermercado
11,2021-12-30,1.99,Jamon ,Mercadona,Supermercado
12,2021-12-30,1.1,Mayonesa,Mercadona,Supermercado
13,2021-12-30,1.25,Chia,Mercadona,Supermercado
14,2021-12-30,0.9,Pasta dental,Mercadona,Farmacia
15,2021-12-30,0.7,Harina de fuerza,Mercadona,Supermercado
16,2021-12-30,7.68,Leche,Lidl,Supermercado
17,2021-12-30,2.16,Azucar,Lidl,Supermercado
18,2021-12-30,1.59,Lenteja,Lidl,Supermercado
19,2021-12-30,1.39,Papel humedo,Lidl,Farmacia
20,2021-12-30,1.79,Cafe,Lidl,Supermercado
21,2021-12-30,1.55,Alubia,Lidl,Supermercado
22,2021-12-30,2.35,Filete lomo de cerdo,Lidl,Supermercado
23,2021-12-30,3.89,Lomo muy jugoso,Lidl,Supermercado
24,2021-12-30,0.89,Arroz,Lidl,Supermercado
25,2021-12-30,1.79,Queso cuña vaca,Lidl,Supermercado
26,2021-12-30,3.19,Atun,Lidl,Supermercado
27,2021-12-30,3.27,Queso en lonchas,Lidl,Supermercado
28,2021-12-30,0.89,Queso rallado,Lidl,Supermercado
29,2021-12-30,0.29,Oregano,Lidl,Supermercado
30,2021-12-30,0.37,Perejil,Lidl,Supermercado
31,2021-12-30,0.89,Pan de molde,Lidl,Supermercado
32,2021-12-30,2.49,Papel higienico,Lidl,Farmacia
33,2021-12-31,2.4,Jarro para hervir,Chino,Vivienda
34,2021-12-31,1.0,Pegamento,Chino,Vivienda
35,2021-12-31,2.7,Fanta limon,Carrefour,Supermercado
36,2021-12-31,1.4,Desodorante,Mercadona,Farmacia
37,2021-12-31,3.3,Vino,Mercadona,Supermercado
38,2021-12-31,5.98,Pechuga pollo,Mercadona,Supermercado
39,2021-12-31,0.65,Zanahoria ,Mercadona,Supermercado
40,2021-12-31,1.8,Almendra con ch,Mercadona,Supermercado
41,2021-12-31,1.7,Mani con ch,Mercadona,Supermercado
42,2022-01-03,6.76,Pechuga de pollo,Carrefour,Supermercado
43,2022-01-03,10.68,Lomo de cerdo ,Carrefour,Supermercado
44,2022-01-03,4.27,Cerdo picado,Carrefour,Supermercado
45,2022-01-03,2.85,Tomate,Carrefour,Supermercado
46,2022-01-03,3.1,Rexona,Carrefour,Farmacia
47,2022-01-02,1.5,Talco,Carrefour,Farmacia
48,2022-01-02,1.45,Don satur,Carrefour,Supermercado
49,2022-01-02,0.9,Hogareñas,Carrefour,Supermercado
50,2022-01-02,3.99,Yerba,Carrefour,Supermercado
51,2022-01-02,0.1,Bolsa,Carrefour,Vivienda
52,2022-01-02,2.25,Tupper,Carrefour,Vivienda
53,2022-01-05,2.95,Huevos,Mercadona,Supermercado
54,2022-01-05,1.3,Bocadillo cacao,Mercadona,Supermercado
55,2022-01-05,1.7,Capelletini carne,Mercadona,Supermercado
56,2022-01-05,1.7,Capelletini queso,Mercadona,Supermercado
57,2022-01-05,1.7,Capelletini jamon,Mercadona,Supermercado
58,2022-01-05,1.5,Focaccia,Mercadona,Supermercado
59,2022-01-05,2.18,Queso tierno vaca,Mercadona,Supermercado
60,2022-01-05,3.2,Lamina sin corteza,Mercadona,Supermercado
61,2022-01-05,2.9,Queso edam,Mercadona,Supermercado
62,2022-01-05,1.0,Queso untar,Mercadona,Supermercado
63,2022-01-05,1.65,Crackers sal,Mercadona,Supermercado
64,2022-01-05,2.0,Dulce membrillo,Mercadona,Supermercado
65,2022-01-06,2.4,Churros,Tejerinos ,Supermercado
66,2022-01-07,1.0,Pan bocadillos,Mercadona,Supermercado
